zip-code,area
91117,Pasadena
91118,San Marino
91125,Pasadena (California Institute of Technology)
91125,Pasadena (California Institute of Technology)
91126,Pasadena (California Institute of Technology)
91126,Pasadena (California Institute of Technology)
91201,Glendale
91202,Glendale
91203,Glendale
91204,Glendale (Tropico)
91205,Glendale (Tropico)
91206,Glendale
91207,Glendale
91208,Glendale
91209,Glendale
91210,Galleria (Glendale)
91214,La Crescenta
91221,Glendale
91222,Glendale
91224,Glendale
91225,Glendale
91226,Glendale
91301,Agoura / Oak Park
91302,Calabasas / Hidden Hills
91303,Canoga Park 
91304,Canoga Park 
91305,Canoga Park 
91306,Winnetka 
91307,West Hills 
91308,West Hills
91309,Canoga Park
91310,Castaic
91311,Chatsworth 
91313,Chatsworth
91316,Encino 
91321,Santa Clarita (Newhall)
91322,Newhall
91324,Northridge 
91325,Northridge 
91326,Porter Ranch 
91327,Northridge
91328,Northridge
91330,CSUN
91330,CSUN
91331,Arleta / Pacoima 
91331,Arleta / Pacoima 
91333,Pacoima
91334,Pacoima
91335,Reseda 
91337,Reseda
91340,San Fernando
91341,San Fernando
91342,Lake View Terrace / Sylmar 
91343,North Hills 
91344,Granada Hills 
91345,Mission Hills 
91346,Mission Hills
91350,Agua Dulce / Saugus
91351,Santa Clarita (Canyon Country)
91352,Sun Valley 
91353,Sun Valley
91354,Santa Clarita (Valencia)
91355,Santa Clarita (Valencia)
91356,Tarzana 
91357,Tarzana
91361,Westlake Village
91362,Westlake Village
91364,Woodland Hills 
91365,Woodland Hills
91367,Woodland Hills 
91372,Calabasas
91376,Agoura Hills
91380,Santa Clarita
91381,Stevenson Ranch
91382,Santa Clarita
91383,Santa Clarita
91384,Castaic
91385,Valencia
91386,Canyon Country
91387,Canyon Country
91390,Santa Clarita
91392,Sylmar
91393,North Hills
91394,Granada Hills
91395,Mission Hills
91396,Winnetka
91401,Van Nuys 
91402,Panorama City 
91403,Sherman Oaks / Van Nuys 
91404,Van Nuys 
91405,Van Nuys 
91406,Van Nuys 
91407,Van Nuys 
91408,Van Nuys 
91409,Van Nuys 
91410,Van Nuys
91411,Van Nuys 
91412,Panorama City 
91413,Sherman Oaks 
91416,Encino
91423,Sherman Oaks / Van Nuys 
91426,Encino
91436,Encino 
91501,Burbank
91502,Burbank
91503,Burbank
91504,Burbank (Glenoaks)
91505,Burbank
91506,Burbank
91507,Burbank
91508,Burbank
91510,Burbank (Woodbury Univ.)
91521,Burbank
91522,Burbank
91523,Burbank
91601,North Hollywood 
91602,North Hollywood / Toluca Lake 
91603,North Hollywood 
91604,North Hollywood / Studio City 
91605,North Hollywood
91606,North Hollywood
91607,North Hollywood / Valley Village 
91608,Universal City
91609,North Hollywood 
91610,Toluca Lake
91614,Studio City
91615,North Hollywood
91616,North Hollywood
91617,Valley Village
91618,North Hollywood
91702,Azusa
91706,Baldwin Park / Irwindale
91709,Chino Hills
91710,Chino
91711,Claremont
91714,City Of Industry
91715,City Of Industry
91716,City Of Industry
91722,Covina
91723,Covina
91724,Covina
91731,El Monte
91732,El Monte
91733,South El Monte
91734,El Monte
91740,Glendora
91741,Glendora
91744,City of Industry / La Puente / Valinda
91745,La Puente (Hacienda Heights)
91746,Bassett / City of Industry / La Puente
91747,La Puente
91748,Rowland Heights
91749,La Puente
91750,La Verne
91754,Monterey Park
91755,Monterey Park
91759,Mt Baldy
91765,Diamond Bar
91766,Phillips Ranch / Pomona
91767,Pomona
91768,Pomona
91769,Pomona
91770,Rosemead
91773,San Dimas
91775,San Gabriel
91776,San Gabriel
91778,San Gabriel
91780,Temple City
91788,Walnut
91789,Diamond Bar / City of Industry / Walnut
91790,West Covina
91791,West Covina
91792,West Covina
91793,West Covina
91801,Alhambra
91802,Alhambra
91803,Alhambra
91804,Alhambra
91896,Alhambra
91899,Alhambra
92397,Wrightwood
92821,Brea
92823,Brea
93243,Lebec
93510,Acton
93523,Edwards AFB
93532,Elizabeth Lake / Lake Hughes
93534,Lancaster
93535,Hi Vista
93536,Lancaster / Quartz Hill
93539,Lancaster
93543,Littlerock / Juniper Hills
93544,Llano
93550,Palmdale / Lake Los Angeles
93551,Palmdale
93552,Palmdale
93553,Pearblossom
93560,Rosamond
93563,Valyermo
93584,Lancaster
93586,Lancaster
93590,Palmdale
93591,Palmdale / Lake Los Angeles
